ts,icao,lat,lon,alt,vw,dw,vwx,vwy
1484136008.0,4CA741,52.8035,3.49457,37000,46.67,131.24,35.09,-30.76
1484136008.2,4007F4,51.92199,3.25172,40000,42.37,142.05,26.06,-33.41
1484136008.3,4CA304,52.7926,5.18135,38000,45.89,141.52,28.55,-35.93
1484136008.4,484CB8,51.01039,4.32334,23075,47.86,141.98,29.48,-37.7
1484136008.5,400940,52.11795,6.00464,38050,40.78,147.89,21.67,-34.54
1484136008.5,4CA741,52.8043,3.49609,37000,46.67,131.24,35.09,-30.76
1484136008.8,4CA304,52.79191,5.17966,38000,45.89,141.52,28.55,-35.93
1484136008.9,484CB8,51.0108,4.32319,23050,47.78,141.99,29.42,-37.65
1484136008.9,896063,50.70168,4.31703,26600,60.82,144.08,35.68,-49.25
1484136009.3,4CA304,52.79123,5.17807,38000,45.89,141.52,28.55,-35.93
1484136009.4,4CA741,52.80537,3.49805,37000,46.6,130.22,35.58,-30.09
1484136009.5,484132,52.97403,2.1155,30125,57.79,116.85,51.55,-26.1
1484136009.7,344156,52.24902,4.89347,6050,23.94,127.11,19.09,-14.45
1484136009.9,4840D5,52.20607,4.47426,5975,25.93,122.41,21.89,-13.9
1484136009.9,484132,52.97342,2.11876,30100,57.87,116.87,51.62,-26.16
1484136010.3,4007F4,51.92087,3.24575,40000,41.67,141.48,25.95,-32.6
1484136010.4,4840D5,52.20573,4.47324,5975,25.93,122.41,21.89,-13.9
1484136010.6,484B02,52.43341,5.00255,3825,21.83,115.74,19.67,-9.48
1484136011.2,484B02,52.43328,5.00372,3825,21.83,115.74,19.67,-9.48
1484136011.2,4951CE,54.23836,3.62949,36000,55.83,116.47,49.97,-24.88
1484136011.6,344156,52.24911,4.89778,6000,23.62,127.95,18.63,-14.53
1484136012.0,44CE62,50.9957,4.90173,5750,24.83,115.88,22.34,-10.84
1484136012.0,484CB8,51.01352,4.31793,23000,47.63,142.03,29.3,-37.54
1484136012.0,4CA8EA,52.63019,3.41816,15225,57.59,125.62,46.81,-33.54
1484136012.5,484CB8,51.01396,4.31637,23000,47.63,142.03,29.3,-37.54
1484136012.6,344156,52.24915,4.89777,5975,23.8,128.2,18.7,-14.72
1484136012.6,484160,52.32129,4.88373,1375,17.67,112.2,16.36,-6.68
1484136012.6,4CA5F7,50.56961,3.5921,37000,56.19,145.31,31.98,-46.21
1484136012.8,4007F4,51.91948,3.23853,40000,41.67,141.48,25.95,-32.6
1484136013.0,484160,52.32129,4.88373,1350,17.65,112.23,16.34,-6.68
1484136013.2,344156,52.24916,4.89896,5950,23.83,128.13,18.75,-14.71
1484136013.2,4007F4,51.91929,3.23728,40000,41.67,141.48,25.95,-32.6
1484136013.5,484CB8,51.01487,4.3145,22975,47.99,141.58,29.82,-37.6
1484136013.5,4CA8EA,52.62926,3.42295,15175,58.05,126.32,46.77,-34.38
1484136013.8,484B02,52.43257,5.00854,3800,22.92,114.98,20.77,-9.68
1484136014.0,4CA8EA,52.62903,3.42412,15150,58.1,126.29,46.83,-34.39
1484136014.4,896063,50.69888,4.33731,26550,60.61,143.72,35.87,-48.86
1484136014.5,4B86D0,50.58357,6.99677,22775,46.25,146.21,25.72,-38.44
1484136014.5,4CA8EA,52.62868,3.4259,15125,58.15,126.26,46.89,-34.4
1484136014.6,344156,52.24924,4.90166,5900,23.91,128.17,18.8,-14.77
1484136014.6,4063DE,52.43124,2.9525,37000,51.2,122.58,43.14,-27.57
1484136014.9,484B02,52.43239,5.01091,3800,22.92,114.98,20.77,-9.68
1484136015.1,4063DE,52.43175,2.95364,37000,51.2,122.58,43.14,-27.57
1484136015.2,344156,52.24925,4.90288,5900,23.91,128.17,18.8,-14.77
1484136015.2,4007F4,51.918,3.23067,40000,41.67,141.48,25.95,-32.6
1484136015.5,485209,52.00071,4.26026,8725,20.72,117.32,18.41,-9.51
1484136015.5,4CA8EA,52.62822,3.42827,15075,56.26,127.81,44.44,-34.49
1484136015.6,4063DE,52.43267,2.95532,37000,51.2,122.58,43.14,-27.57
1484136015.8,344156,52.24928,4.90402,5875,23.57,129.1,18.29,-14.86
1484136015.9,4070DE,50.98737,3.35521,5950,17.1,79.28,16.8,3.18
1484136015.9,485209,52.00113,4.26094,8700,20.72,117.17,18.44,-9.46
1484136016.0,4CA8EA,52.62786,3.43009,15075,56.01,127.1,44.67,-33.78
1484136016.1,4007F4,51.91754,3.2283,40000,41.67,141.48,25.95,-32.6
1484136016.1,4063DE,52.43318,2.9565,37000,51.2,122.58,43.14,-27.57
1484136016.2,44CE72,51.14289,4.77531,5975,20.72,117.82,18.32,-9.67
1484136016.3,44CE62,50.993,4.89604,5650,25.76,112.91,23.73,-10.03
1484136016.4,485209,52.00155,4.2616,8700,20.72,117.17,18.44,-9.46
1484136016.4,4CA8EA,52.62763,3.43127,15050,56.06,127.07,44.73,-33.8
1484136016.5,484CB8,51.01744,4.30939,22925,47.83,141.62,29.7,-37.5
1484136016.6,4063DE,52.43394,2.95822,37000,51.07,123.5,42.59,-28.19
1484136016.6,896063,50.69781,4.34586,26550,60.61,143.72,35.87,-48.86
1484136016.7,3950CD,52.32406,4.96912,2300,23.3,107.1,22.27,-6.85
1484136016.7,4007F4,51.9172,3.22653,40000,41.67,141.48,25.95,-32.6
1484136016.7,44CE62,50.99272,4.89545,5650,24.2,112.35,22.38,-9.2
1484136016.8,344156,52.24935,4.90642,5850,23.15,128.0,18.24,-14.26
1484136016.8,44CE72,51.14323,4.77653,5950,20.45,119.04,17.88,-9.93
1484136016.8,485209,52.002,4.26224,8700,18.43,118.39,16.22,-8.77
1484136016.9,484B02,52.43188,5.01471,3775,21.91,115.69,19.75,-9.5
1484136016.9,4CA8EA,52.6273,3.43307,15025,57.16,126.6,45.89,-34.08
1484136017.1,4063DE,52.43445,2.95944,37000,51.07,123.5,42.59,-28.19
1484136017.1,484CB8,51.01794,4.30939,22925,47.83,141.62,29.7,-37.5
1484136017.3,44CE72,51.14351,4.77779,5950,20.45,119.04,17.88,-9.93
1484136017.3,485209,52.0025,4.26292,8700,18.43,118.39,16.22,-8.77
1484136017.4,484B02,52.4317,5.01556,3775,21.91,115.69,19.75,-9.5
1484136017.4,4CA8EA,52.62708,3.4343,15000,57.22,126.57,45.95,-34.09
1484136017.6,4063DE,52.43477,2.96059,37000,50.28,123.36,42.0,-27.65
1484136017.7,484CB8,51.01846,4.30748,22925,47.83,141.62,29.7,-37.5
1484136017.8,485209,52.0029,4.26364,8675,18.08,116.56,16.17,-8.08
1484136018.0,4063DE,52.43532,2.96173,37000,50.28,123.36,42.0,-27.65
1484136018.0,484B02,52.43156,5.01663,3775,22.54,116.29,20.21,-9.98
1484136018.3,485209,52.00346,4.26445,8675,18.08,116.56,16.17,-8.08
1484136018.4,4CA8EA,52.62651,3.43723,14975,58.64,126.5,47.13,-34.88
1484136018.6,484160,52.32111,4.87877,1300,19.12,110.79,17.88,-6.79
1484136018.7,344156,52.24942,4.90997,5775,23.79,127.3,18.92,-14.42
1484136018.7,484CB8,51.01932,4.30575,22900,47.76,141.63,29.64,-37.44
1484136018.7,485209,52.00383,4.26498,8675,16.36,116.3,14.67,-7.25
1484136018.8,4D00D9,51.0585,2.85214,23000,54.22,137.98,36.29,-40.28
1484136019.1,484CB8,51.01973,4.3059,22900,47.76,141.63,29.64,-37.44
1484136019.3,485209,52.00438,4.26598,8650,16.37,116.11,14.7,-7.2
1484136019.4,4CA8EA,52.62593,3.44025,14925,58.56,127.45,46.49,-35.61
1484136019.4,896063,50.69632,4.3566,26525,60.23,144.18,35.25,-48.84
1484136019.7,344156,52.24951,4.91234,5750,24.12,127.89,19.04,-14.81
1484136019.8,485209,52.00488,4.26666,8650,14.35,113.13,13.19,-5.64
1484136019.8,4CA741,52.81952,3.52386,37000,48.87,129.23,37.86,-30.91
1484136019.8,4D00D9,51.058,2.85481,23000,54.22,137.98,36.29,-40.28
1484136019.9,4063DE,52.43784,2.96753,37000,51.2,122.58,43.14,-27.57
1484136019.9,44CE72,51.14457,4.7818,5925,21.42,117.15,19.06,-9.77
1484136019.9,4CA63A,50.26194,2.10128,32000,50.5,144.33,29.45,-41.03
1484136019.9,4CA8EA,52.6257,3.44147,14900,59.42,127.62,47.06,-36.27
1484136019.9,896063,50.69604,4.35837,26525,60.23,144.18,35.25,-48.84
1484136020.1,4CA75E,52.10275,5.2958,35000,52.13,127.87,41.15,-32.0
1484136020.2,485209,52.00527,4.2674,8650,14.35,113.13,13.19,-5.64
1484136020.3,44CE72,51.14479,4.78269,5925,21.42,117.15,19.06,-9.77
1484136020.3,4D00D9,51.05775,2.85645,23000,54.22,137.98,36.29,-40.28
1484136020.4,4CA8EA,52.62535,3.44327,14875,59.47,127.6,47.12,-36.28
1484136020.6,76CEF1,52.5005,4.89838,31000,56.33,132.77,41.35,-38.25
1484136020.7,484CB8,51.02106,4.30234,22875,47.68,141.65,29.59,-37.39
1484136020.7,4CA741,52.82089,3.52638,37000,48.93,130.2,37.38,-31.59
1484136020.8,44CE72,51.14504,4.78355,5900,21.25,111.12,19.83,-7.66
1484136020.8,485209,52.0058,4.26826,8625,11.51,107.07,11.01,-3.38
1484136020.9,896063,50.69567,4.36203,26500,60.29,144.11,35.34,-48.84
1484136021.0,4CA8EA,52.62502,3.44505,14850,59.23,128.32,46.47,-36.73
1484136021.2,44CE72,51.14522,4.78432,5900,21.25,111.12,19.83,-7.66
1484136021.2,4D00D9,51.05728,2.85912,23000,53.7,138.48,35.6,-40.21
1484136021.3,484CB8,51.02158,4.30061,22850,47.6,141.67,29.53,-37.34
1484136021.4,485209,52.0063,4.26918,8625,11.51,107.07,11.01,-3.38
1484136021.4,896063,50.69554,4.36387,26500,60.29,144.11,35.34,-48.84
1484136021.8,4063DE,52.44012,2.97274,36975,52.01,122.6,43.82,-28.02
1484136022.0,485209,52.00681,4.27007,8625,12.67,107.9,12.05,-3.89
1484136022.1,4D00D9,51.05676,2.86194,23000,53.91,138.81,35.5,-40.57
1484136022.3,406AE3,53.57648,3.52991,37975,50.92,132.58,37.5,-34.45
1484136022.3,484B02,52.43033,5.02518,3725,22.51,115.26,20.36,-9.61
1484136022.4,485209,52.00722,4.27086,8600,12.69,107.68,12.09,-3.85
1484136022.6,4CA741,52.82359,3.53134,37000,48.15,130.28,36.74,-31.13
1484136022.6,4D00D9,51.05654,2.86324,23000,54.42,138.31,36.19,-40.64
