mdl,magdev
B738,0.35174999999999557
B737,0.17528125000001182
A320,0.7032187499999907
E75L,-0.0002499999999940883
A319,0.5277499999999975
B744,1.9337500000000034
A333,1.0547500000000127
B77W,1.9336250000000064
A321,0.8787499999999966
B772,1.7582187499999975
B789,0.8792187500000068
B763,0.8789375000000064
B77L,1.9335000000000093
B739,0.17528125000001182
A332,1.0547500000000127
B788,0.8787499999999966
E190,0.17539062500000568
B748,1.9337500000000034
A20N,1.5822187499999814
A359,2.2852187500000127
A306,0.8787499999999966
BCS3,1.4062812500000064
A388,1.5817499999999995
B752,0.70275
E195,0.17574999999999363
A343,1.0547499999999999
A318,0.7027500000000089
